transaction_id,customer_id,product_code,product_category,transaction_date,quantity,unit_price,gross_revenue,net_revenue,tax_amount,reconciliation_status,source_vs_gl_variance,gl_vs_bank_variance,days_to_post
TXN-0000001,C0191,P047,Electronics,2024-08-31,9,183.8,1985.08,1654.23,330.85,GL_VARIANCE,74.21,0.0,3
TXN-0000002,C0125,P017,Services,2024-11-16,5,260.43,1562.56,1302.13,260.43,MISSING_IN_GL,0.0,0.0,1
TXN-0000003,C0086,P018,Electronics,2024-06-12,4,260.96,1252.6,1043.83,208.77,MATCHED,0.0,0.0,4
TXN-0000004,C0017,P006,Software,2024-07-31,3,117.93,424.54,353.78,70.76,MATCHED,0.0,0.0,3
TXN-0000005,C0100,P022,Software,2024-10-26,4,164.24,788.35,656.96,131.39,MATCHED,0.0,0.0,5
TXN-0000006,C0091,P002,Electronics,2024-06-01,7,229.51,1927.91,1606.59,321.32,GL_VARIANCE,0.48,0.0,3
TXN-0000007,C0125,P027,Software,2024-04-22,10,65.37,784.4,653.67,130.73,MATCHED,0.0,0.0,2
TXN-0000008,C0120,P028,Electronics,2024-03-06,7,157.95,1326.74,1105.62,221.12,MATCHED,0.0,0.0,4
TXN-0000009,C0022,P035,Software,2024-11-25,10,27.02,324.26,270.22,54.04,MATCHED,0.0,0.0,3
TXN-0000010,C0084,P009,Clothing,2024-04-18,5,21.6,129.62,108.02,21.6,MATCHED,0.0,0.0,3
TXN-0000011,C0065,P021,Furniture,2024-02-11,5,40.25,241.5,201.25,40.25,MATCHED,0.0,0.0,3
TXN-0000012,C0167,P002,Electronics,2024-02-05,6,243.53,1753.42,1461.18,292.24,MATCHED,0.0,0.0,5
TXN-0000013,C0160,P003,Electronics,2024-03-19,4,367.05,1761.85,1468.21,293.64,MATCHED,0.0,0.0,1
TXN-0000014,C0197,P009,Clothing,2024-07-07,4,18.16,87.14,72.62,14.52,GL_VARIANCE,2.54,0.0,1
TXN-0000015,C0080,P039,Services,2024-02-25,2,564.35,1354.44,1128.7,225.74,MATCHED,0.0,0.0,4
TXN-0000016,C0184,P002,Electronics,2024-04-11,7,243.43,2044.8,1704.0,340.8,MATCHED,0.0,0.0,0
TXN-0000017,C0176,P038,Furniture,2024-11-03,2,153.59,368.62,307.18,61.44,MATCHED,0.0,0.0,0
TXN-0000018,C0018,P037,Furniture,2024-09-16,7,47.83,401.75,334.79,66.96,MATCHED,0.0,0.0,5
TXN-0000019,C0111,P022,Software,2024-07-04,8,32.44,311.39,259.49,51.9,MATCHED,0.0,0.0,5
TXN-0000020,C0158,P030,Clothing,2024-10-02,9,10.41,112.39,93.66,18.73,MATCHED,0.0,0.0,3
TXN-0000021,C0063,P030,Clothing,2024-02-14,5,13.84,83.04,69.2,13.84,MATCHED,0.0,0.0,2
TXN-0000022,C0087,P029,Software,2024-01-15,10,43.29,519.48,432.9,86.58,MATCHED,0.0,0.0,3
TXN-0000023,C0072,P021,Furniture,2024-11-01,5,30.91,185.46,154.55,30.91,MATCHED,0.0,0.0,5
TXN-0000024,C0062,P018,Electronics,2024-07-27,4,300.08,1440.38,1200.32,240.06,MATCHED,0.0,0.0,3
